dataset,error_bound,coefficient,model_type,signal,value_cnt
powerlog,0.01,32,gorilla,frequency,300161425
powerlog,0.01,32,pmc,frequency,231067
powerlog,0.01,32,swing,frequency,2897389
powerlog,0.01,32,gorilla,activepower,303289881
powerlog,0.01,32,pmc,activepower,0
powerlog,0.01,32,swing,activepower,0
powerlog,0.01,32,gorilla,activepower60,303030639
powerlog,0.01,32,pmc,activepower60,98926
powerlog,0.01,32,swing,activepower60,160316
powerlog,0.01,32,gorilla,activepower600,268974301
powerlog,0.01,32,pmc,activepower600,1489270
powerlog,0.01,32,swing,activepower600,32826310
powerlog,0.01,32,gorilla,rawreactivepower,303289881
powerlog,0.01,32,pmc,rawreactivepower,0
powerlog,0.01,32,swing,rawreactivepower,0
powerlog,0.01,32,gorilla,rawpower,303289881
powerlog,0.01,32,pmc,rawpower,0
powerlog,0.01,32,swing,rawpower,0
powerlog,0.01,32,gorilla,powererror,303289575
powerlog,0.01,32,pmc,powererror,0
powerlog,0.01,32,swing,powererror,306
powerlog,0.01,32,gorilla,powerupperlimit,190585840
powerlog,0.01,32,pmc,powerupperlimit,91523329
powerlog,0.01,32,swing,powerupperlimit,21180712
powerlog,0.01,32,gorilla,powerlowerlimit,192204800
powerlog,0.01,32,pmc,powerlowerlimit,89437252
powerlog,0.01,32,swing,powerlowerlimit,21647829
powerlog,0.01,32,gorilla,availablepower,290295042
powerlog,0.01,32,pmc,availablepower,12969723
powerlog,0.01,32,swing,availablepower,25116
