dataset,error_bound,coefficient,model_type,signal,value_cnt
powerlog,1.0,2,gorilla,frequency,1
powerlog,1.0,2,pmc,frequency,303224344
powerlog,1.0,2,swing,frequency,65536
powerlog,1.0,2,gorilla,activepower,26407282
powerlog,1.0,2,pmc,activepower,33444000
powerlog,1.0,2,swing,activepower,243438599
powerlog,1.0,2,gorilla,activepower60,1136210
powerlog,1.0,2,pmc,activepower60,22739036
powerlog,1.0,2,swing,activepower60,279414635
powerlog,1.0,2,gorilla,activepower600,106348
powerlog,1.0,2,pmc,activepower600,21836790
powerlog,1.0,2,swing,activepower600,281346743
powerlog,1.0,2,gorilla,rawreactivepower,303289881
powerlog,1.0,2,pmc,rawreactivepower,0
powerlog,1.0,2,swing,rawreactivepower,0
powerlog,1.0,2,gorilla,rawpower,73011484
powerlog,1.0,2,pmc,rawpower,33073219
powerlog,1.0,2,swing,rawpower,197205178
powerlog,1.0,2,gorilla,powererror,31946610
powerlog,1.0,2,pmc,powererror,39649815
powerlog,1.0,2,swing,powererror,231693456
powerlog,1.0,2,gorilla,powerupperlimit,2035
powerlog,1.0,2,pmc,powerupperlimit,36000078
powerlog,1.0,2,swing,powerupperlimit,267287768
powerlog,1.0,2,gorilla,powerlowerlimit,5411801
powerlog,1.0,2,pmc,powerlowerlimit,37471261
powerlog,1.0,2,swing,powerlowerlimit,260406819
powerlog,1.0,2,gorilla,availablepower,240767
powerlog,1.0,2,pmc,availablepower,37212446
powerlog,1.0,2,swing,availablepower,265836668
