dataset,error_bound,coefficient,model_type,signal,value_cnt
powerlog,10.0,32,gorilla,frequency,1
powerlog,10.0,32,pmc,frequency,303289880
powerlog,10.0,32,swing,frequency,0
powerlog,10.0,32,gorilla,activepower,20108921
powerlog,10.0,32,pmc,activepower,64397632
powerlog,10.0,32,swing,activepower,218783328
powerlog,10.0,32,gorilla,activepower60,6077834
powerlog,10.0,32,pmc,activepower60,70161606
powerlog,10.0,32,swing,activepower60,227050441
powerlog,10.0,32,gorilla,activepower600,722494
powerlog,10.0,32,pmc,activepower600,65266422
powerlog,10.0,32,swing,activepower600,237300965
powerlog,10.0,32,gorilla,rawreactivepower,303289881
powerlog,10.0,32,pmc,rawreactivepower,0
powerlog,10.0,32,swing,rawreactivepower,0
powerlog,10.0,32,gorilla,rawpower,25372658
powerlog,10.0,32,pmc,rawpower,63123358
powerlog,10.0,32,swing,rawpower,214793865
powerlog,10.0,32,gorilla,powererror,33872846
powerlog,10.0,32,pmc,powererror,66485762
powerlog,10.0,32,swing,powererror,202931273
powerlog,10.0,32,gorilla,powerupperlimit,20535
powerlog,10.0,32,pmc,powerupperlimit,84051254
powerlog,10.0,32,swing,powerupperlimit,219218092
powerlog,10.0,32,gorilla,powerlowerlimit,3032838
powerlog,10.0,32,pmc,powerlowerlimit,66303573
powerlog,10.0,32,swing,powerlowerlimit,233953470
powerlog,10.0,32,gorilla,availablepower,11329971
powerlog,10.0,32,pmc,availablepower,62562681
powerlog,10.0,32,swing,availablepower,229397229
