dataset,error_bound,coefficient,model_type,signal,value_cnt
powerlog,0.01,16,gorilla,frequency,231225648
powerlog,0.01,16,pmc,frequency,3976248
powerlog,0.01,16,swing,frequency,68087985
powerlog,0.01,16,gorilla,activepower,303289881
powerlog,0.01,16,pmc,activepower,0
powerlog,0.01,16,swing,activepower,0
powerlog,0.01,16,gorilla,activepower60,301458477
powerlog,0.01,16,pmc,activepower60,163955
powerlog,0.01,16,swing,activepower60,1667449
powerlog,0.01,16,gorilla,activepower600,179757430
powerlog,0.01,16,pmc,activepower600,2307882
powerlog,0.01,16,swing,activepower600,121224569
powerlog,0.01,16,gorilla,rawreactivepower,303289881
powerlog,0.01,16,pmc,rawreactivepower,0
powerlog,0.01,16,swing,rawreactivepower,0
powerlog,0.01,16,gorilla,rawpower,303289881
powerlog,0.01,16,pmc,rawpower,0
powerlog,0.01,16,swing,rawpower,0
powerlog,0.01,16,gorilla,powererror,303288518
powerlog,0.01,16,pmc,powererror,0
powerlog,0.01,16,swing,powererror,1363
powerlog,0.01,16,gorilla,powerupperlimit,160478140
powerlog,0.01,16,pmc,powerupperlimit,103424463
powerlog,0.01,16,swing,powerupperlimit,39387278
powerlog,0.01,16,gorilla,powerlowerlimit,162441124
powerlog,0.01,16,pmc,powerlowerlimit,103871926
powerlog,0.01,16,swing,powerlowerlimit,36976831
powerlog,0.01,16,gorilla,availablepower,289990502
powerlog,0.01,16,pmc,availablepower,12966222
powerlog,0.01,16,swing,availablepower,333157
