dataset,error_bound,coefficient,model_type,signal,value_cnt
powerlog,0.1,32,gorilla,frequency,10802
powerlog,0.1,32,pmc,frequency,139779094
powerlog,0.1,32,swing,frequency,163499985
powerlog,0.1,32,gorilla,activepower,303281359
powerlog,0.1,32,pmc,activepower,925
powerlog,0.1,32,swing,activepower,7597
powerlog,0.1,32,gorilla,activepower60,262492624
powerlog,0.1,32,pmc,activepower60,4110255
powerlog,0.1,32,swing,activepower60,36687002
powerlog,0.1,32,gorilla,activepower600,67963406
powerlog,0.1,32,pmc,activepower600,7657602
powerlog,0.1,32,swing,activepower600,227668873
powerlog,0.1,32,gorilla,rawreactivepower,303289881
powerlog,0.1,32,pmc,rawreactivepower,0
powerlog,0.1,32,swing,rawreactivepower,0
powerlog,0.1,32,gorilla,rawpower,303289881
powerlog,0.1,32,pmc,rawpower,0
powerlog,0.1,32,swing,rawpower,0
powerlog,0.1,32,gorilla,powererror,303053649
powerlog,0.1,32,pmc,powererror,64359
powerlog,0.1,32,swing,powererror,171873
powerlog,0.1,32,gorilla,powerupperlimit,123555883
powerlog,0.1,32,pmc,powerupperlimit,36885751
powerlog,0.1,32,swing,powerupperlimit,142848247
powerlog,0.1,32,gorilla,powerlowerlimit,144941459
powerlog,0.1,32,pmc,powerlowerlimit,54077780
powerlog,0.1,32,swing,powerlowerlimit,104270642
powerlog,0.1,32,gorilla,availablepower,280580341
powerlog,0.1,32,pmc,availablepower,13152526
powerlog,0.1,32,swing,availablepower,9557014
