dataset,error_bound,coefficient,model_type,signal,value_cnt
powerlog,5.0,2,gorilla,frequency,1
powerlog,5.0,2,pmc,frequency,303289880
powerlog,5.0,2,swing,frequency,0
powerlog,5.0,2,gorilla,activepower,5959406
powerlog,5.0,2,pmc,activepower,50770408
powerlog,5.0,2,swing,activepower,246560067
powerlog,5.0,2,gorilla,activepower60,224157
powerlog,5.0,2,pmc,activepower60,50251647
powerlog,5.0,2,swing,activepower60,252814077
powerlog,5.0,2,gorilla,activepower600,16433
powerlog,5.0,2,pmc,activepower600,48690045
powerlog,5.0,2,swing,activepower600,254583403
powerlog,5.0,2,gorilla,rawreactivepower,303258767
powerlog,5.0,2,pmc,rawreactivepower,26
powerlog,5.0,2,swing,rawreactivepower,31088
powerlog,5.0,2,gorilla,rawpower,14018320
powerlog,5.0,2,pmc,rawpower,51323138
powerlog,5.0,2,swing,rawpower,237948423
powerlog,5.0,2,gorilla,powererror,1765323
powerlog,5.0,2,pmc,powererror,45077563
powerlog,5.0,2,swing,powererror,256446995
powerlog,5.0,2,gorilla,powerupperlimit,226
powerlog,5.0,2,pmc,powerupperlimit,61063334
powerlog,5.0,2,swing,powerupperlimit,242226321
powerlog,5.0,2,gorilla,powerlowerlimit,1034680
powerlog,5.0,2,pmc,powerlowerlimit,50712195
powerlog,5.0,2,swing,powerlowerlimit,251543006
powerlog,5.0,2,gorilla,availablepower,35047
powerlog,5.0,2,pmc,availablepower,50765735
powerlog,5.0,2,swing,availablepower,252489099
