dataset,error_bound,coefficient,model_type,signal,value_cnt
powerlog,10.0,8,gorilla,frequency,1
powerlog,10.0,8,pmc,frequency,303289880
powerlog,10.0,8,swing,frequency,0
powerlog,10.0,8,gorilla,activepower,8436275
powerlog,10.0,8,pmc,activepower,65652504
powerlog,10.0,8,swing,activepower,229201102
powerlog,10.0,8,gorilla,activepower60,966861
powerlog,10.0,8,pmc,activepower60,69745410
powerlog,10.0,8,swing,activepower60,232577610
powerlog,10.0,8,gorilla,activepower600,72400
powerlog,10.0,8,pmc,activepower600,65271615
powerlog,10.0,8,swing,activepower600,237945866
powerlog,10.0,8,gorilla,rawreactivepower,303289881
powerlog,10.0,8,pmc,rawreactivepower,0
powerlog,10.0,8,swing,rawreactivepower,0
powerlog,10.0,8,gorilla,rawpower,13474077
powerlog,10.0,8,pmc,rawpower,65333242
powerlog,10.0,8,swing,rawpower,224482562
powerlog,10.0,8,gorilla,powererror,2746630
powerlog,10.0,8,pmc,powererror,68554144
powerlog,10.0,8,swing,powererror,231989107
powerlog,10.0,8,gorilla,powerupperlimit,2086
powerlog,10.0,8,pmc,powerupperlimit,84069703
powerlog,10.0,8,swing,powerupperlimit,219218092
powerlog,10.0,8,gorilla,powerlowerlimit,702466
powerlog,10.0,8,pmc,powerlowerlimit,66226806
powerlog,10.0,8,swing,powerlowerlimit,236360609
powerlog,10.0,8,gorilla,availablepower,184923
powerlog,10.0,8,pmc,availablepower,62737673
powerlog,10.0,8,swing,availablepower,240367285
