dataset,error_bound,coefficient,model_type,signal,value_cnt
powerlog,0.01,2,gorilla,frequency,11136907
powerlog,0.01,2,pmc,frequency,27816656
powerlog,0.01,2,swing,frequency,264336318
powerlog,0.01,2,gorilla,activepower,303289157
powerlog,0.01,2,pmc,activepower,0
powerlog,0.01,2,swing,activepower,724
powerlog,0.01,2,gorilla,activepower60,82839382
powerlog,0.01,2,pmc,activepower60,3124182
powerlog,0.01,2,swing,activepower60,217326317
powerlog,0.01,2,gorilla,activepower600,10748706
powerlog,0.01,2,pmc,activepower600,3338123
powerlog,0.01,2,swing,activepower600,289203052
powerlog,0.01,2,gorilla,rawreactivepower,303289881
powerlog,0.01,2,pmc,rawreactivepower,0
powerlog,0.01,2,swing,rawreactivepower,0
powerlog,0.01,2,gorilla,rawpower,303289881
powerlog,0.01,2,pmc,rawpower,0
powerlog,0.01,2,swing,rawpower,0
powerlog,0.01,2,gorilla,powererror,303164368
powerlog,0.01,2,pmc,powererror,20799
powerlog,0.01,2,swing,powererror,104714
powerlog,0.01,2,gorilla,powerupperlimit,122361838
powerlog,0.01,2,pmc,powerupperlimit,105178375
powerlog,0.01,2,swing,powerupperlimit,75749668
powerlog,0.01,2,gorilla,powerlowerlimit,129753999
powerlog,0.01,2,pmc,powerlowerlimit,109739680
powerlog,0.01,2,swing,powerlowerlimit,63796202
powerlog,0.01,2,gorilla,availablepower,128574136
powerlog,0.01,2,pmc,availablepower,14508440
powerlog,0.01,2,swing,availablepower,160207305
