dataset,error_bound,coefficient,model_type,signal,value_cnt
powerlog,0.0,8,gorilla,frequency,292851051
powerlog,0.0,8,pmc,frequency,10438830
powerlog,0.0,8,swing,frequency,0
powerlog,0.0,8,gorilla,activepower,303289881
powerlog,0.0,8,pmc,activepower,0
powerlog,0.0,8,swing,activepower,0
powerlog,0.0,8,gorilla,activepower60,303289881
powerlog,0.0,8,pmc,activepower60,0
powerlog,0.0,8,swing,activepower60,0
powerlog,0.0,8,gorilla,activepower600,303289881
powerlog,0.0,8,pmc,activepower600,0
powerlog,0.0,8,swing,activepower600,0
powerlog,0.0,8,gorilla,rawreactivepower,303289881
powerlog,0.0,8,pmc,rawreactivepower,0
powerlog,0.0,8,swing,rawreactivepower,0
powerlog,0.0,8,gorilla,rawpower,303289881
powerlog,0.0,8,pmc,rawpower,0
powerlog,0.0,8,swing,rawpower,0
powerlog,0.0,8,gorilla,powererror,303289881
powerlog,0.0,8,pmc,powererror,0
powerlog,0.0,8,swing,powererror,0
powerlog,0.0,8,gorilla,powerupperlimit,160274042
powerlog,0.0,8,pmc,powerupperlimit,143015839
powerlog,0.0,8,swing,powerupperlimit,0
powerlog,0.0,8,gorilla,powerlowerlimit,161439495
powerlog,0.0,8,pmc,powerlowerlimit,141850386
powerlog,0.0,8,swing,powerlowerlimit,0
powerlog,0.0,8,gorilla,availablepower,290297046
powerlog,0.0,8,pmc,availablepower,12992835
powerlog,0.0,8,swing,availablepower,0
