dataset,error_bound,coefficient,model_type,signal,value_cnt
powerlog,0.0,16,gorilla,frequency,303048145
powerlog,0.0,16,pmc,frequency,241736
powerlog,0.0,16,swing,frequency,0
powerlog,0.0,16,gorilla,activepower,303289881
powerlog,0.0,16,pmc,activepower,0
powerlog,0.0,16,swing,activepower,0
powerlog,0.0,16,gorilla,activepower60,303289881
powerlog,0.0,16,pmc,activepower60,0
powerlog,0.0,16,swing,activepower60,0
powerlog,0.0,16,gorilla,activepower600,303289881
powerlog,0.0,16,pmc,activepower600,0
powerlog,0.0,16,swing,activepower600,0
powerlog,0.0,16,gorilla,rawreactivepower,303289881
powerlog,0.0,16,pmc,rawreactivepower,0
powerlog,0.0,16,swing,rawreactivepower,0
powerlog,0.0,16,gorilla,rawpower,303289881
powerlog,0.0,16,pmc,rawpower,0
powerlog,0.0,16,swing,rawpower,0
powerlog,0.0,16,gorilla,powererror,303289881
powerlog,0.0,16,pmc,powererror,0
powerlog,0.0,16,swing,powererror,0
powerlog,0.0,16,gorilla,powerupperlimit,172014824
powerlog,0.0,16,pmc,powerupperlimit,131275057
powerlog,0.0,16,swing,powerupperlimit,0
powerlog,0.0,16,gorilla,powerlowerlimit,173316894
powerlog,0.0,16,pmc,powerlowerlimit,129972987
powerlog,0.0,16,swing,powerlowerlimit,0
powerlog,0.0,16,gorilla,availablepower,290344509
powerlog,0.0,16,pmc,availablepower,12945372
powerlog,0.0,16,swing,availablepower,0
