dataset,error_bound,coefficient,model_type,signal,value_cnt
powerlog,5.0,32,gorilla,frequency,1
powerlog,5.0,32,pmc,frequency,303289880
powerlog,5.0,32,swing,frequency,0
powerlog,5.0,32,gorilla,activepower,35883858
powerlog,5.0,32,pmc,activepower,47075834
powerlog,5.0,32,swing,activepower,220330189
powerlog,5.0,32,gorilla,activepower60,11297238
powerlog,5.0,32,pmc,activepower60,50040815
powerlog,5.0,32,swing,activepower60,241951828
powerlog,5.0,32,gorilla,activepower600,1501916
powerlog,5.0,32,pmc,activepower600,48527646
powerlog,5.0,32,swing,activepower600,253260319
powerlog,5.0,32,gorilla,rawreactivepower,303289881
powerlog,5.0,32,pmc,rawreactivepower,0
powerlog,5.0,32,swing,rawreactivepower,0
powerlog,5.0,32,gorilla,rawpower,47581502
powerlog,5.0,32,pmc,rawpower,41730925
powerlog,5.0,32,swing,rawpower,213977454
powerlog,5.0,32,gorilla,powererror,89721836
powerlog,5.0,32,pmc,powererror,37368728
powerlog,5.0,32,swing,powererror,176199317
powerlog,5.0,32,gorilla,powerupperlimit,47302
powerlog,5.0,32,pmc,powerupperlimit,61028935
powerlog,5.0,32,swing,powerupperlimit,242213644
powerlog,5.0,32,gorilla,powerlowerlimit,6012694
powerlog,5.0,32,pmc,powerlowerlimit,50800046
powerlog,5.0,32,swing,powerlowerlimit,246477141
powerlog,5.0,32,gorilla,availablepower,15845367
powerlog,5.0,32,pmc,availablepower,50451999
powerlog,5.0,32,swing,availablepower,236992515
