dataset,error_bound,coefficient,model_type,signal,value_cnt
powerlog,10.0,2,gorilla,frequency,1
powerlog,10.0,2,pmc,frequency,303289880
powerlog,10.0,2,swing,frequency,0
powerlog,10.0,2,gorilla,activepower,3016313
powerlog,10.0,2,pmc,activepower,66269250
powerlog,10.0,2,swing,activepower,234004318
powerlog,10.0,2,gorilla,activepower60,101530
powerlog,10.0,2,pmc,activepower60,69782497
powerlog,10.0,2,swing,activepower60,233405854
powerlog,10.0,2,gorilla,activepower600,5656
powerlog,10.0,2,pmc,activepower600,65282346
powerlog,10.0,2,swing,activepower600,238001879
powerlog,10.0,2,gorilla,rawreactivepower,303084786
powerlog,10.0,2,pmc,rawreactivepower,2707
powerlog,10.0,2,swing,rawreactivepower,202388
powerlog,10.0,2,gorilla,rawpower,7058272
powerlog,10.0,2,pmc,rawpower,66993304
powerlog,10.0,2,swing,rawpower,229238305
powerlog,10.0,2,gorilla,powererror,1380198
powerlog,10.0,2,pmc,powererror,68305776
powerlog,10.0,2,swing,powererror,233603907
powerlog,10.0,2,gorilla,powerupperlimit,104
powerlog,10.0,2,pmc,powerupperlimit,84072971
powerlog,10.0,2,swing,powerupperlimit,219216806
powerlog,10.0,2,gorilla,powerlowerlimit,494091
powerlog,10.0,2,pmc,powerlowerlimit,66273182
powerlog,10.0,2,swing,powerlowerlimit,236522608
powerlog,10.0,2,gorilla,availablepower,18867
powerlog,10.0,2,pmc,availablepower,62766009
powerlog,10.0,2,swing,availablepower,240505005
