dataset,error_bound,coefficient,model_type,signal,value_cnt
powerlog,10.0,4,gorilla,frequency,1
powerlog,10.0,4,pmc,frequency,303289880
powerlog,10.0,4,swing,frequency,0
powerlog,10.0,4,gorilla,activepower,5138024
powerlog,10.0,4,pmc,activepower,66038464
powerlog,10.0,4,swing,activepower,232113393
powerlog,10.0,4,gorilla,activepower60,315137
powerlog,10.0,4,pmc,activepower60,69762212
powerlog,10.0,4,swing,activepower60,233212532
powerlog,10.0,4,gorilla,activepower600,21774
powerlog,10.0,4,pmc,activepower600,65261438
powerlog,10.0,4,swing,activepower600,238006669
powerlog,10.0,4,gorilla,rawreactivepower,303289124
powerlog,10.0,4,pmc,rawreactivepower,0
powerlog,10.0,4,swing,rawreactivepower,757
powerlog,10.0,4,gorilla,rawpower,9727025
powerlog,10.0,4,pmc,rawpower,66334747
powerlog,10.0,4,swing,rawpower,227228109
powerlog,10.0,4,gorilla,powererror,1649501
powerlog,10.0,4,pmc,powererror,68323246
powerlog,10.0,4,swing,powererror,233317134
powerlog,10.0,4,gorilla,powerupperlimit,723
powerlog,10.0,4,pmc,powerupperlimit,84072355
powerlog,10.0,4,swing,powerupperlimit,219216803
powerlog,10.0,4,gorilla,powerlowerlimit,554888
powerlog,10.0,4,pmc,powerlowerlimit,66291045
powerlog,10.0,4,swing,powerlowerlimit,236443948
powerlog,10.0,4,gorilla,availablepower,39236
powerlog,10.0,4,pmc,availablepower,62744605
powerlog,10.0,4,swing,availablepower,240506040
