dataset,error_bound,coefficient,model_type,signal,value_cnt
powerlog,0.1,4,gorilla,frequency,244
powerlog,0.1,4,pmc,frequency,139889434
powerlog,0.1,4,swing,frequency,163400203
powerlog,0.1,4,gorilla,activepower,234877545
powerlog,0.1,4,pmc,activepower,3242800
powerlog,0.1,4,swing,activepower,65169536
powerlog,0.1,4,gorilla,activepower60,25411385
powerlog,0.1,4,pmc,activepower60,8188654
powerlog,0.1,4,swing,activepower60,269689842
powerlog,0.1,4,gorilla,activepower600,3109894
powerlog,0.1,4,pmc,activepower600,7527091
powerlog,0.1,4,swing,activepower600,292652896
powerlog,0.1,4,gorilla,rawreactivepower,303289881
powerlog,0.1,4,pmc,rawreactivepower,0
powerlog,0.1,4,swing,rawreactivepower,0
powerlog,0.1,4,gorilla,rawpower,303077410
powerlog,0.1,4,pmc,rawpower,8371
powerlog,0.1,4,swing,rawpower,204100
powerlog,0.1,4,gorilla,powererror,273234200
powerlog,0.1,4,pmc,powererror,5854080
powerlog,0.1,4,swing,powererror,24201601
powerlog,0.1,4,gorilla,powerupperlimit,21144220
powerlog,0.1,4,pmc,powerupperlimit,39029478
powerlog,0.1,4,swing,powerupperlimit,243116183
powerlog,0.1,4,gorilla,powerlowerlimit,62515917
powerlog,0.1,4,pmc,powerlowerlimit,57109003
powerlog,0.1,4,swing,powerlowerlimit,183664961
powerlog,0.1,4,gorilla,availablepower,82053473
powerlog,0.1,4,pmc,availablepower,18346197
powerlog,0.1,4,swing,availablepower,202890211
