dataset,error_bound,coefficient,model_type,signal,value_cnt
powerlog,1.0,4,gorilla,frequency,1
powerlog,1.0,4,pmc,frequency,303224344
powerlog,1.0,4,swing,frequency,65536
powerlog,1.0,4,gorilla,activepower,42713792
powerlog,1.0,4,pmc,activepower,31388309
powerlog,1.0,4,swing,activepower,229187780
powerlog,1.0,4,gorilla,activepower60,3302542
powerlog,1.0,4,pmc,activepower60,22712962
powerlog,1.0,4,swing,activepower60,277274377
powerlog,1.0,4,gorilla,activepower600,304196
powerlog,1.0,4,pmc,activepower600,21839254
powerlog,1.0,4,swing,activepower600,281146431
powerlog,1.0,4,gorilla,rawreactivepower,303289881
powerlog,1.0,4,pmc,rawreactivepower,0
powerlog,1.0,4,swing,rawreactivepower,0
powerlog,1.0,4,gorilla,rawpower,82768886
powerlog,1.0,4,pmc,rawpower,30427795
powerlog,1.0,4,swing,rawpower,190093200
powerlog,1.0,4,gorilla,powererror,76831617
powerlog,1.0,4,pmc,powererror,36771028
powerlog,1.0,4,swing,powererror,189687236
powerlog,1.0,4,gorilla,powerupperlimit,7290
powerlog,1.0,4,pmc,powerupperlimit,36004918
powerlog,1.0,4,swing,powerupperlimit,267277673
powerlog,1.0,4,gorilla,powerlowerlimit,5910638
powerlog,1.0,4,pmc,powerlowerlimit,37451356
powerlog,1.0,4,swing,powerlowerlimit,259927887
powerlog,1.0,4,gorilla,availablepower,1061750
powerlog,1.0,4,pmc,availablepower,37177643
powerlog,1.0,4,swing,availablepower,265050488
