dataset,error_bound,coefficient,model_type,signal,value_cnt
powerlog,0.1,2,gorilla,frequency,133
powerlog,0.1,2,pmc,frequency,139813309
powerlog,0.1,2,swing,frequency,163476439
powerlog,0.1,2,gorilla,activepower,148094985
powerlog,0.1,2,pmc,activepower,8853640
powerlog,0.1,2,swing,activepower,146341256
powerlog,0.1,2,gorilla,activepower60,11004016
powerlog,0.1,2,pmc,activepower60,8282202
powerlog,0.1,2,swing,activepower60,284003663
powerlog,0.1,2,gorilla,activepower600,1084545
powerlog,0.1,2,pmc,activepower600,7533291
powerlog,0.1,2,swing,activepower600,294672045
powerlog,0.1,2,gorilla,rawreactivepower,303289881
powerlog,0.1,2,pmc,rawreactivepower,0
powerlog,0.1,2,swing,rawreactivepower,0
powerlog,0.1,2,gorilla,rawpower,295430041
powerlog,0.1,2,pmc,rawpower,368402
powerlog,0.1,2,swing,rawpower,7491438
powerlog,0.1,2,gorilla,powererror,235057680
powerlog,0.1,2,pmc,powererror,9429959
powerlog,0.1,2,swing,powererror,58802242
powerlog,0.1,2,gorilla,powerupperlimit,17826267
powerlog,0.1,2,pmc,powerupperlimit,39342675
powerlog,0.1,2,swing,powerupperlimit,246120939
powerlog,0.1,2,gorilla,powerlowerlimit,57273650
powerlog,0.1,2,pmc,powerlowerlimit,56390813
powerlog,0.1,2,swing,powerlowerlimit,189625418
powerlog,0.1,2,gorilla,availablepower,38431207
powerlog,0.1,2,pmc,availablepower,21137212
powerlog,0.1,2,swing,availablepower,243721462
