dataset,error_bound,coefficient,model_type,signal,value_cnt
powerlog,5.0,4,gorilla,frequency,1
powerlog,5.0,4,pmc,frequency,303289880
powerlog,5.0,4,swing,frequency,0
powerlog,5.0,4,gorilla,activepower,10053130
powerlog,5.0,4,pmc,activepower,50391460
powerlog,5.0,4,swing,activepower,242845291
powerlog,5.0,4,gorilla,activepower60,651782
powerlog,5.0,4,pmc,activepower60,50283034
powerlog,5.0,4,swing,activepower60,252355065
powerlog,5.0,4,gorilla,activepower600,54065
powerlog,5.0,4,pmc,activepower600,48708334
powerlog,5.0,4,swing,activepower600,254527482
powerlog,5.0,4,gorilla,rawreactivepower,303289881
powerlog,5.0,4,pmc,rawreactivepower,0
powerlog,5.0,4,swing,rawreactivepower,0
powerlog,5.0,4,gorilla,rawpower,19087844
powerlog,5.0,4,pmc,rawpower,49890029
powerlog,5.0,4,swing,rawpower,234312008
powerlog,5.0,4,gorilla,powererror,2824727
powerlog,5.0,4,pmc,powererror,45098093
powerlog,5.0,4,swing,powererror,255367061
powerlog,5.0,4,gorilla,powerupperlimit,1328
powerlog,5.0,4,pmc,powerupperlimit,61062233
powerlog,5.0,4,swing,powerupperlimit,242226320
powerlog,5.0,4,gorilla,powerlowerlimit,1157629
powerlog,5.0,4,pmc,powerlowerlimit,50722380
powerlog,5.0,4,swing,powerlowerlimit,251409872
powerlog,5.0,4,gorilla,availablepower,105901
powerlog,5.0,4,pmc,availablepower,50725728
powerlog,5.0,4,swing,availablepower,252458252
