dataset,error_bound,coefficient,model_type,signal,value_cnt
powerlog,0.01,8,gorilla,frequency,91978999
powerlog,0.01,8,pmc,frequency,13243835
powerlog,0.01,8,swing,frequency,198067047
powerlog,0.01,8,gorilla,activepower,303289881
powerlog,0.01,8,pmc,activepower,0
powerlog,0.01,8,swing,activepower,0
powerlog,0.01,8,gorilla,activepower60,269570792
powerlog,0.01,8,pmc,activepower60,770791
powerlog,0.01,8,swing,activepower60,32948298
powerlog,0.01,8,gorilla,activepower600,80557356
powerlog,0.01,8,pmc,activepower600,3003011
powerlog,0.01,8,swing,activepower600,219729514
powerlog,0.01,8,gorilla,rawreactivepower,303289881
powerlog,0.01,8,pmc,rawreactivepower,0
powerlog,0.01,8,swing,rawreactivepower,0
powerlog,0.01,8,gorilla,rawpower,303289881
powerlog,0.01,8,pmc,rawpower,0
powerlog,0.01,8,swing,rawpower,0
powerlog,0.01,8,gorilla,powererror,303277492
powerlog,0.01,8,pmc,powererror,1603
powerlog,0.01,8,swing,powererror,10786
powerlog,0.01,8,gorilla,powerupperlimit,142809622
powerlog,0.01,8,pmc,powerupperlimit,103512706
powerlog,0.01,8,swing,powerupperlimit,56967553
powerlog,0.01,8,gorilla,powerlowerlimit,146177294
powerlog,0.01,8,pmc,powerlowerlimit,107349225
powerlog,0.01,8,swing,powerlowerlimit,49763362
powerlog,0.01,8,gorilla,availablepower,274110429
powerlog,0.01,8,pmc,availablepower,13108070
powerlog,0.01,8,swing,availablepower,16071382
