dataset,error_bound,coefficient,model_type,signal,value_cnt
powerlog,0.0,32,gorilla,frequency,303289881
powerlog,0.0,32,pmc,frequency,0
powerlog,0.0,32,swing,frequency,0
powerlog,0.0,32,gorilla,activepower,303289881
powerlog,0.0,32,pmc,activepower,0
powerlog,0.0,32,swing,activepower,0
powerlog,0.0,32,gorilla,activepower60,303289881
powerlog,0.0,32,pmc,activepower60,0
powerlog,0.0,32,swing,activepower60,0
powerlog,0.0,32,gorilla,activepower600,303289881
powerlog,0.0,32,pmc,activepower600,0
powerlog,0.0,32,swing,activepower600,0
powerlog,0.0,32,gorilla,rawreactivepower,303289881
powerlog,0.0,32,pmc,rawreactivepower,0
powerlog,0.0,32,swing,rawreactivepower,0
powerlog,0.0,32,gorilla,rawpower,303289881
powerlog,0.0,32,pmc,rawpower,0
powerlog,0.0,32,swing,rawpower,0
powerlog,0.0,32,gorilla,powererror,303289881
powerlog,0.0,32,pmc,powererror,0
powerlog,0.0,32,swing,powererror,0
powerlog,0.0,32,gorilla,powerupperlimit,200852807
powerlog,0.0,32,pmc,powerupperlimit,102437074
powerlog,0.0,32,swing,powerupperlimit,0
powerlog,0.0,32,gorilla,powerlowerlimit,201803007
powerlog,0.0,32,pmc,powerlowerlimit,101486874
powerlog,0.0,32,swing,powerlowerlimit,0
powerlog,0.0,32,gorilla,availablepower,290350070
powerlog,0.0,32,pmc,availablepower,12939811
powerlog,0.0,32,swing,availablepower,0
