dataset,error_bound,coefficient,model_type,signal,value_cnt
powerlog,1.0,32,gorilla,frequency,1
powerlog,1.0,32,pmc,frequency,303224344
powerlog,1.0,32,swing,frequency,65536
powerlog,1.0,32,gorilla,activepower,171987037
powerlog,1.0,32,pmc,activepower,18354098
powerlog,1.0,32,swing,activepower,112948746
powerlog,1.0,32,gorilla,activepower60,50110287
powerlog,1.0,32,pmc,activepower60,22475593
powerlog,1.0,32,swing,activepower60,230704001
powerlog,1.0,32,gorilla,activepower600,7665001
powerlog,1.0,32,pmc,activepower600,21817814
powerlog,1.0,32,swing,activepower600,273807066
powerlog,1.0,32,gorilla,rawreactivepower,303289881
powerlog,1.0,32,pmc,rawreactivepower,0
powerlog,1.0,32,swing,rawreactivepower,0
powerlog,1.0,32,gorilla,rawpower,197328020
powerlog,1.0,32,pmc,rawpower,18445775
powerlog,1.0,32,swing,rawpower,87516086
powerlog,1.0,32,gorilla,powererror,208455319
powerlog,1.0,32,pmc,powererror,27308838
powerlog,1.0,32,swing,powererror,67525724
powerlog,1.0,32,gorilla,powerupperlimit,4562922
powerlog,1.0,32,pmc,powerupperlimit,37223034
powerlog,1.0,32,swing,powerupperlimit,261503925
powerlog,1.0,32,gorilla,powerlowerlimit,35282962
powerlog,1.0,32,pmc,powerlowerlimit,37714364
powerlog,1.0,32,swing,powerlowerlimit,230292555
powerlog,1.0,32,gorilla,availablepower,72138201
powerlog,1.0,32,pmc,availablepower,36282814
powerlog,1.0,32,swing,availablepower,194868866
