dataset,error_bound,coefficient,model_type,signal,value_cnt
powerlog,0.0,4,gorilla,frequency,235747989
powerlog,0.0,4,pmc,frequency,67541892
powerlog,0.0,4,swing,frequency,0
powerlog,0.0,4,gorilla,activepower,303289881
powerlog,0.0,4,pmc,activepower,0
powerlog,0.0,4,swing,activepower,0
powerlog,0.0,4,gorilla,activepower60,303289881
powerlog,0.0,4,pmc,activepower60,0
powerlog,0.0,4,swing,activepower60,0
powerlog,0.0,4,gorilla,activepower600,303289881
powerlog,0.0,4,pmc,activepower600,0
powerlog,0.0,4,swing,activepower600,0
powerlog,0.0,4,gorilla,rawreactivepower,303289881
powerlog,0.0,4,pmc,rawreactivepower,0
powerlog,0.0,4,swing,rawreactivepower,0
powerlog,0.0,4,gorilla,rawpower,303289881
powerlog,0.0,4,pmc,rawpower,0
powerlog,0.0,4,swing,rawpower,0
powerlog,0.0,4,gorilla,powererror,303289881
powerlog,0.0,4,pmc,powererror,0
powerlog,0.0,4,swing,powererror,0
powerlog,0.0,4,gorilla,powerupperlimit,154928358
powerlog,0.0,4,pmc,powerupperlimit,148361523
powerlog,0.0,4,swing,powerupperlimit,0
powerlog,0.0,4,gorilla,powerlowerlimit,156110117
powerlog,0.0,4,pmc,powerlowerlimit,147179764
powerlog,0.0,4,swing,powerlowerlimit,0
powerlog,0.0,4,gorilla,availablepower,290293775
powerlog,0.0,4,pmc,availablepower,12996106
powerlog,0.0,4,swing,availablepower,0
