dataset,error_bound,coefficient,model_type,signal,value_cnt
powerlog,1.0,16,gorilla,frequency,1
powerlog,1.0,16,pmc,frequency,303224344
powerlog,1.0,16,swing,frequency,65536
powerlog,1.0,16,gorilla,activepower,98534369
powerlog,1.0,16,pmc,activepower,24958204
powerlog,1.0,16,swing,activepower,179797308
powerlog,1.0,16,gorilla,activepower60,19906196
powerlog,1.0,16,pmc,activepower60,22487905
powerlog,1.0,16,swing,activepower60,260895780
powerlog,1.0,16,gorilla,activepower600,2802158
powerlog,1.0,16,pmc,activepower600,21807432
powerlog,1.0,16,swing,activepower600,278680291
powerlog,1.0,16,gorilla,rawreactivepower,303289881
powerlog,1.0,16,pmc,rawreactivepower,0
powerlog,1.0,16,swing,rawreactivepower,0
powerlog,1.0,16,gorilla,rawpower,119875123
powerlog,1.0,16,pmc,rawpower,26020768
powerlog,1.0,16,swing,rawpower,157393990
powerlog,1.0,16,gorilla,powererror,161670197
powerlog,1.0,16,pmc,powererror,30170750
powerlog,1.0,16,swing,powererror,111448934
powerlog,1.0,16,gorilla,powerupperlimit,298552
powerlog,1.0,16,pmc,powerupperlimit,36258240
powerlog,1.0,16,swing,powerupperlimit,266733089
powerlog,1.0,16,gorilla,powerlowerlimit,12636609
powerlog,1.0,16,pmc,powerlowerlimit,37018381
powerlog,1.0,16,swing,powerlowerlimit,253634891
powerlog,1.0,16,gorilla,availablepower,26700700
powerlog,1.0,16,pmc,availablepower,37729735
powerlog,1.0,16,swing,availablepower,238859446
