dataset,error_bound,coefficient,model_type,signal,value_cnt
powerlog,5.0,8,gorilla,frequency,1
powerlog,5.0,8,pmc,frequency,303289880
powerlog,5.0,8,swing,frequency,0
powerlog,5.0,8,gorilla,activepower,16136322
powerlog,5.0,8,pmc,activepower,49574270
powerlog,5.0,8,swing,activepower,237579289
powerlog,5.0,8,gorilla,activepower60,1961899
powerlog,5.0,8,pmc,activepower60,50281707
powerlog,5.0,8,swing,activepower60,251046275
powerlog,5.0,8,gorilla,activepower600,172345
powerlog,5.0,8,pmc,activepower600,48661960
powerlog,5.0,8,swing,activepower600,254455576
powerlog,5.0,8,gorilla,rawreactivepower,303289881
powerlog,5.0,8,pmc,rawreactivepower,0
powerlog,5.0,8,swing,rawreactivepower,0
powerlog,5.0,8,gorilla,rawpower,25829717
powerlog,5.0,8,pmc,rawpower,47608762
powerlog,5.0,8,swing,rawpower,229851402
powerlog,5.0,8,gorilla,powererror,8739073
powerlog,5.0,8,pmc,powererror,45210247
powerlog,5.0,8,swing,powererror,249340561
powerlog,5.0,8,gorilla,powerupperlimit,3989
powerlog,5.0,8,pmc,powerupperlimit,61055297
powerlog,5.0,8,swing,powerupperlimit,242230595
powerlog,5.0,8,gorilla,powerlowerlimit,1404485
powerlog,5.0,8,pmc,powerlowerlimit,50636278
powerlog,5.0,8,swing,powerlowerlimit,251249118
powerlog,5.0,8,gorilla,availablepower,573558
powerlog,5.0,8,pmc,availablepower,50685232
powerlog,5.0,8,swing,availablepower,252031091
