dataset,error_bound,coefficient,model_type,signal,value_cnt
powerlog,0.1,16,gorilla,frequency,3511
powerlog,0.1,16,pmc,frequency,139838821
powerlog,0.1,16,swing,frequency,163447549
powerlog,0.1,16,gorilla,activepower,303055083
powerlog,0.1,16,pmc,activepower,10621
powerlog,0.1,16,swing,activepower,224177
powerlog,0.1,16,gorilla,activepower60,164040210
powerlog,0.1,16,pmc,activepower60,6259364
powerlog,0.1,16,swing,activepower60,132990307
powerlog,0.1,16,gorilla,activepower600,23314775
powerlog,0.1,16,pmc,activepower600,7540053
powerlog,0.1,16,swing,activepower600,272435053
powerlog,0.1,16,gorilla,rawreactivepower,303289881
powerlog,0.1,16,pmc,rawreactivepower,0
powerlog,0.1,16,swing,rawreactivepower,0
powerlog,0.1,16,gorilla,rawpower,303289881
powerlog,0.1,16,pmc,rawpower,0
powerlog,0.1,16,swing,rawpower,0
powerlog,0.1,16,gorilla,powererror,301862966
powerlog,0.1,16,pmc,powererror,481523
powerlog,0.1,16,swing,powererror,945392
powerlog,0.1,16,gorilla,powerupperlimit,62948787
powerlog,0.1,16,pmc,powerupperlimit,31940454
powerlog,0.1,16,swing,powerupperlimit,208400640
powerlog,0.1,16,gorilla,powerlowerlimit,104086785
powerlog,0.1,16,pmc,powerlowerlimit,49287998
powerlog,0.1,16,swing,powerlowerlimit,149915098
powerlog,0.1,16,gorilla,availablepower,213290403
powerlog,0.1,16,pmc,availablepower,14376766
powerlog,0.1,16,swing,availablepower,75622712
