dataset,error_bound,coefficient,model_type,signal,value_cnt
powerlog,0.01,4,gorilla,frequency,29150106
powerlog,0.01,4,pmc,frequency,23265595
powerlog,0.01,4,swing,frequency,250874180
powerlog,0.01,4,gorilla,activepower,303289881
powerlog,0.01,4,pmc,activepower,0
powerlog,0.01,4,swing,activepower,0
powerlog,0.01,4,gorilla,activepower60,176727801
powerlog,0.01,4,pmc,activepower60,2318306
powerlog,0.01,4,swing,activepower60,124243774
powerlog,0.01,4,gorilla,activepower600,26494988
powerlog,0.01,4,pmc,activepower600,3380708
powerlog,0.01,4,swing,activepower600,273414185
powerlog,0.01,4,gorilla,rawreactivepower,303289881
powerlog,0.01,4,pmc,rawreactivepower,0
powerlog,0.01,4,swing,rawreactivepower,0
powerlog,0.01,4,gorilla,rawpower,303289881
powerlog,0.01,4,pmc,rawpower,0
powerlog,0.01,4,swing,rawpower,0
powerlog,0.01,4,gorilla,powererror,303229646
powerlog,0.01,4,pmc,powererror,14121
powerlog,0.01,4,swing,powererror,46114
powerlog,0.01,4,gorilla,powerupperlimit,130045214
powerlog,0.01,4,pmc,powerupperlimit,104577067
powerlog,0.01,4,swing,powerupperlimit,68667600
powerlog,0.01,4,gorilla,powerlowerlimit,136031399
powerlog,0.01,4,pmc,powerlowerlimit,108857872
powerlog,0.01,4,swing,powerlowerlimit,58400610
powerlog,0.01,4,gorilla,availablepower,206618779
powerlog,0.01,4,pmc,availablepower,13718836
powerlog,0.01,4,swing,availablepower,82952266
