dataset,error_bound,coefficient,model_type,signal,value_cnt
powerlog,5.0,16,gorilla,frequency,1
powerlog,5.0,16,pmc,frequency,303289880
powerlog,5.0,16,swing,frequency,0
powerlog,5.0,16,gorilla,activepower,24362456
powerlog,5.0,16,pmc,activepower,47922332
powerlog,5.0,16,swing,activepower,231005093
powerlog,5.0,16,gorilla,activepower60,5166558
powerlog,5.0,16,pmc,activepower60,50427966
powerlog,5.0,16,swing,activepower60,247695357
powerlog,5.0,16,gorilla,activepower600,537598
powerlog,5.0,16,pmc,activepower600,48682858
powerlog,5.0,16,swing,activepower600,254069425
powerlog,5.0,16,gorilla,rawreactivepower,303289881
powerlog,5.0,16,pmc,rawreactivepower,0
powerlog,5.0,16,swing,rawreactivepower,0
powerlog,5.0,16,gorilla,rawpower,34206488
powerlog,5.0,16,pmc,rawpower,44802938
powerlog,5.0,16,swing,rawpower,224280455
powerlog,5.0,16,gorilla,powererror,36306070
powerlog,5.0,16,pmc,powererror,42884269
powerlog,5.0,16,swing,powererror,224099542
powerlog,5.0,16,gorilla,powerupperlimit,15329
powerlog,5.0,16,pmc,powerupperlimit,61045437
powerlog,5.0,16,swing,powerupperlimit,242229115
powerlog,5.0,16,gorilla,powerlowerlimit,2398561
powerlog,5.0,16,pmc,powerlowerlimit,50613049
powerlog,5.0,16,swing,powerlowerlimit,250278271
powerlog,5.0,16,gorilla,availablepower,10519378
powerlog,5.0,16,pmc,availablepower,50613560
powerlog,5.0,16,swing,availablepower,242156943
