dataset,error_bound,coefficient,model_type,signal,value_cnt
powerlog,10.0,16,gorilla,frequency,1
powerlog,10.0,16,pmc,frequency,303289880
powerlog,10.0,16,swing,frequency,0
powerlog,10.0,16,gorilla,activepower,13308174
powerlog,10.0,16,pmc,activepower,64551807
powerlog,10.0,16,swing,activepower,225429900
powerlog,10.0,16,gorilla,activepower60,2626422
powerlog,10.0,16,pmc,activepower60,69936506
powerlog,10.0,16,swing,activepower60,230726953
powerlog,10.0,16,gorilla,activepower600,244215
powerlog,10.0,16,pmc,activepower600,65307035
powerlog,10.0,16,swing,activepower600,237738631
powerlog,10.0,16,gorilla,rawreactivepower,303289881
powerlog,10.0,16,pmc,rawreactivepower,0
powerlog,10.0,16,swing,rawreactivepower,0
powerlog,10.0,16,gorilla,rawpower,18580566
powerlog,10.0,16,pmc,rawpower,64099697
powerlog,10.0,16,swing,rawpower,220609618
powerlog,10.0,16,gorilla,powererror,9008909
powerlog,10.0,16,pmc,powererror,68454520
powerlog,10.0,16,swing,powererror,225826452
powerlog,10.0,16,gorilla,powerupperlimit,7037
powerlog,10.0,16,pmc,powerupperlimit,84064752
powerlog,10.0,16,swing,powerupperlimit,219218092
powerlog,10.0,16,gorilla,powerlowerlimit,1237364
powerlog,10.0,16,pmc,powerlowerlimit,66209805
powerlog,10.0,16,swing,powerlowerlimit,235842712
powerlog,10.0,16,gorilla,availablepower,9096946
powerlog,10.0,16,pmc,availablepower,62718916
powerlog,10.0,16,swing,availablepower,231474019
