dataset,error_bound,coefficient,model_type,signal,value_cnt
powerlog,1.0,8,gorilla,frequency,1
powerlog,1.0,8,pmc,frequency,303224344
powerlog,1.0,8,swing,frequency,65536
powerlog,1.0,8,gorilla,activepower,65811556
powerlog,1.0,8,pmc,activepower,27952073
powerlog,1.0,8,swing,activepower,209526252
powerlog,1.0,8,gorilla,activepower60,8889678
powerlog,1.0,8,pmc,activepower60,22637993
powerlog,1.0,8,swing,activepower60,271762210
powerlog,1.0,8,gorilla,activepower600,920774
powerlog,1.0,8,pmc,activepower600,21835163
powerlog,1.0,8,swing,activepower600,280533944
powerlog,1.0,8,gorilla,rawreactivepower,303289881
powerlog,1.0,8,pmc,rawreactivepower,0
powerlog,1.0,8,swing,rawreactivepower,0
powerlog,1.0,8,gorilla,rawpower,91933149
powerlog,1.0,8,pmc,rawpower,28625432
powerlog,1.0,8,swing,rawpower,182731300
powerlog,1.0,8,gorilla,powererror,119496106
powerlog,1.0,8,pmc,powererror,33302425
powerlog,1.0,8,swing,powererror,150491350
powerlog,1.0,8,gorilla,powerupperlimit,23822
powerlog,1.0,8,pmc,powerupperlimit,35991906
powerlog,1.0,8,swing,powerupperlimit,267274153
powerlog,1.0,8,gorilla,powerlowerlimit,7179864
powerlog,1.0,8,pmc,powerlowerlimit,37061474
powerlog,1.0,8,swing,powerlowerlimit,259048543
powerlog,1.0,8,gorilla,availablepower,13125594
powerlog,1.0,8,pmc,availablepower,37091440
powerlog,1.0,8,swing,availablepower,253072847
